Країна,URL,Столиця,Офіційні мови,Незалежність,Валюта,Телефонний код
Австралія,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%96%D1%8F,Невідомо,англійська 1,від Великої Британії,Австралійський долар ( AUD ),+61
Боснія і Герцеговина,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D1%81%D0%BD%D1%96%D1%8F_%D1%96_%D0%93%D0%B5%D1%80%D1%86%D0%B5%D0%B3%D0%BE%D0%B2%D0%B8%D0%BD%D0%B0,Невідомо,"боснійська , хорватська , сербська",від СФРЮ,Конвертовна марка ( BAM ),+387
Білорусь,https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%8C,Невідомо,білоруська і російська,Невідомо,білоруський рубль ( BYN ),+375
Болівія,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%96%D0%B2%D1%96%D1%8F,Невідомо,"Іспанська , кечуа , аймара , араона , айорео , чакобо , мовіма , гуарані , чикітано",,Болівіано ( BOB ),+591
Ботсвана,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D1%82%D1%81%D0%B2%D0%B0%D0%BD%D0%B0,Невідомо,англійська (офіційна) тсвана (національна),від Великої Британії,Пула ( BWP ),+267
Болгарія,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B3%D0%B0%D1%80%D1%96%D1%8F,Невідомо,болгарська,Невідомо,Лев ( BGN ),+359
Бразилія,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D0%B7%D0%B8%D0%BB%D1%96%D1%8F,Невідомо,Португальська,від Португалії,Реал (R$) ( BRL ),+55
Беліз,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%96%D0%B7,Невідомо,англійська мова,,Белізький долар ( BZD ),+501
Буркіна-Фасо,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D0%BA%D1%96%D0%BD%D0%B0-%D0%A4%D0%B0%D1%81%D0%BE,Невідомо,Французька,від Франції,Франк CFA ( XOF ),+226
Бахрейн,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D1%85%D1%80%D0%B5%D0%B9%D0%BD,Невідомо,Арабська,15 серпня 1971 — від Великої Британії,Динар ( BHD ),+973
Барбадос,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%B1%D0%B0%D0%B4%D0%BE%D1%81,Невідомо,англійська мова,від Великої Британії,Барбадоський долар ( BBD ),+246
Бангладеш,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88,Невідомо,Бенгальська (Бангла),від Пакистану,Така ( BDT ),+880
Бельгія,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D1%96%D1%8F,Невідомо,"нідерландська , французька і німецька",від Нідерландів,Євро ( EUR ),+32
Бруней,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D1%83%D0%BD%D0%B5%D0%B9,Невідомо,Малайська (національна),,Бруннейський рінггіт ( BND ),+673 1
Багамські Острови,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B3%D0%B0%D0%BC%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,англійська мова,,Багамський долар ( BSD ),+242
Бенін,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BD%D1%96%D0%BD,Невідомо,Французька,від Франції,Франк КФА ( XOF ),+229
